矫痢,楷飞,A屈埃堪,蜡青己捞窍急堪,B屈埃堪(鞭己),荐滴,己全凯,玛玛啊公矫刘,脚刘饶焙免趋凯,搬琴,饶玫己搁开搬翘刘,脚辆皑堪捍刘饶焙
2010,0~4技,-,526,-,8931,44,27,0,41,1,12005
2010,5~9技,-,1229,-,12000,61,33,0,51,0,7292
2010,10~14技,-,1459,-,2135,1,35,1,267,0,2973
2010,15~19技,-,2279,-,386,0,42,7,2071,28,3206
2010,20~29技,-,330,-,388,0,133,39,5274,150,12385
2010,30~39技,-,155,-,397,0,250,36,5090,208,8900
2010,40~49技,-,67,-,104,0,670,56,5345,183,3974
2010,50~59技,-,30,-,31,0,1259,86,5299,123,3820
2010,60~69技,-,8,-,19,0,1473,109,4684,64,1425
2010,70技捞惑,-,11,-,9,0,1749,139,8183,16,870
2011,0~4技,13,757,1,12894,169,29,0,59,0,0
2011,5~9技,16,1403,4,18177,228,28,2,38,0,0
2011,10~14技,119,1616,3,3153,8,33,0,305,0,0
2011,15~19技,269,1731,18,504,0,46,4,2030,40,0
2011,20~29技,1753,342,55,616,1,117,22,5623,208,0
2011,30~39技,2443,137,115,627,0,205,27,5472,198,0
2011,40~49技,767,82,111,181,0,546,45,5727,220,0
2011,50~59技,102,43,90,49,0,1231,74,6081,143,0
2011,60~69技,19,19,41,23,0,1308,76,4966,60,0
2011,70技捞惑,20,7,24,25,0,1608,120,9256,19,0
2012,0~4技,11,961,3,9415,402,48,1,59,1,0
2012,5~9技,3,1623,0,13756,542,48,2,42,0,0
2012,10~14技,21,1994,3,2725,20,48,1,199,0,0
2012,15~19技,65,2107,11,491,0,76,5,1630,32,0
2012,20~29技,327,413,39,582,0,202,31,5260,264,0
2012,30~39技,519,189,62,505,4,444,23,5081,202,0
2012,40~49技,185,127,94,182,0,888,33,5692,162,0
2012,50~59技,28,50,67,55,0,1970,70,6300,136,0
2012,60~69技,16,21,7,31,0,2164,73,4957,48,0
2012,70技捞惑,22,7,3,21,0,2716,125,10293,23,0
2013,0~4技,5,1331,0,10660,1619,43,0,40,0,0
2013,5~9技,8,2585,0,20571,1937,49,0,25,0,0
2013,10~14技,7,4528,0,3787,104,45,1,155,0,0
2013,15~19技,49,6738,5,623,9,66,8,1281,53,0
2013,20~29技,253,966,21,796,1,223,61,4564,289,0
2013,30~39技,358,406,30,575,7,377,32,4512,225,0
2013,40~49技,120,281,33,230,0,969,57,5258,224,0
2013,50~59技,37,126,14,62,0,2524,103,5865,160,0
2013,60~69技,12,41,6,35,0,2738,95,4467,40,0
2013,70技捞惑,18,22,8,22,1,3331,170,9917,22,0
2014,0~4技,3,2206,1,12705,2683,24,0,40,0,0
2014,5~9技,5,4138,0,23976,2920,24,0,21,0,0
2014,10~14技,13,5959,2,4812,184,29,1,115,1,0
2014,15~19技,39,9811,9,756,11,43,9,1131,39,0
2014,20~29技,328,1586,44,1016,4,207,45,4206,344,0
2014,30~39技,545,737,36,693,4,280,28,4027,232,0
2014,40~49技,288,489,36,314,2,681,35,4996,210,0
2014,50~59技,49,239,29,94,1,1774,60,5894,164,0
2014,60~69技,23,69,10,46,0,2065,67,4391,66,0
2014,70技捞惑,14,52,6,38,0,3003,99,10048,25,0
2015,0~4技,9,2948,0,14221,3314,31,1,23,0,0
2015,5~9技,11,5441,0,23262,3416,31,0,16,0,0
2015,10~14技,19,4777,0,5571,221,36,1,128,0,0
2015,15~19技,82,6916,8,896,23,43,5,1014,42,0
2015,20~29技,431,1444,33,1113,4,179,54,3599,352,0
2015,30~39技,728,837,24,732,18,351,21,3483,228,0
2015,40~49技,401,646,47,309,3,758,31,4289,183,0
2015,50~59技,80,282,20,105,3,1963,75,5484,136,0
2015,60~69技,17,99,12,70,0,2509,62,4276,59,0
2015,70技捞惑,26,58,11,51,0,3612,134,9869,18,0
2016,0~4技,8,3192,1,16289,5430,41,1,17,0,0
2016,5~9技,8,5947,0,26918,5972,36,0,13,0,0
2016,10~14技,19,2484,0,6948,334,37,1,102,1,0
2016,15~19技,121,2974,8,989,32,71,3,750,35,0
2016,20~29技,889,912,70,1359,22,276,52,3179,360,0
2016,30~39技,2031,621,71,835,68,401,31,3081,240,0
2016,40~49技,1209,477,85,380,18,839,43,4028,193,0
2016,50~59技,261,264,65,154,13,2305,93,5167,139,0
2016,60~69技,72,112,30,97,14,2979,142,4403,59,0
2016,70技捞惑,61,74,29,91,8,4120,209,10152,33,0
2017,0~4技,13,1,-,1,10116,43,0,16,0,0
2017,5~9技,8,2,-,0,11705,46,0,8,0,0
2017,10~14技,14,1,-,0,781,44,1,75,0,0
2017,15~19技,90,0,-,0,36,51,6,622,34,0
2017,20~29技,792,0,-,0,30,217,41,2564,340,0
2017,30~39技,1745,1,-,0,88,325,32,2623,230,0
2017,40~49技,1275,2,-,1,37,754,28,3504,166,0
2017,50~59技,297,0,-,1,14,2130,78,4711,149,0
2017,60~69技,90,0,-,0,15,2803,112,4212,62,0
2017,70技捞惑,95,0,-,0,16,4115,233,9826,27,0
2018,0~4技,15,4414,2,23335,6865,21,0,27,0,0
2018,5~9技,5,8905,0,50178,7964,29,0,7,0,0
2018,10~14技,6,2687,1,16370,710,27,1,43,0,0
2018,15~19技,38,749,5,2007,47,30,2,431,19,0
2018,20~29技,309,711,98,1951,36,138,26,2112,336,0
2018,30~39技,795,653,60,1321,76,189,18,2274,236,0
2018,40~49技,758,535,90,716,38,453,26,2989,171,0
2018,50~59技,262,340,75,293,9,1199,75,4344,140,0
2018,60~69技,101,157,32,163,17,1794,79,4095,57,0
2018,70技捞惑,148,86,29,133,15,2788,206,10111,30,0
2019,0~4技,25,3599,1,17145,3359,9,0,18,0,0
2019,5~9技,13,7251,0,43267,3744,15,0,6,0,0
2019,10~14技,30,2281,0,15802,258,10,0,55,0,0
2019,15~19技,249,551,7,2123,39,18,3,327,29,0
2019,20~29技,2445,658,68,1969,35,80,29,1803,365,0
2019,30~39技,6430,579,85,1280,73,123,24,1928,258,0
2019,40~49技,6369,480,85,699,28,237,20,2522,158,0
2019,50~59技,1600,341,88,291,11,639,55,3887,116,0
2019,60~69技,266,132,29,165,7,1081,84,3768,59,0
2019,70技捞惑,171,95,26,127,8,1793,184,9507,20,0
